word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
personnel,73,22,1.3,8,3,61,1
center,72,57,3.4,37,3,12,20
come,72,72,4.3,27,12,18,15
collective,72,51,3.1,35,24,5,8
evaluation,72,38,2.3,31,7,11,23
facilitate,72,65,3.9,19,6,32,15
essential,72,67,4.0,21,16,24,11
compliance,72,35,2.1,1,2,68,1
digitization,72,47,2.8,25,8,5,34
copyright,72,25,1.5,23,19,1,29
email,72,14,0.8,34,0,34,4
paradigm,71,52,3.1,33,16,15,7
status,71,62,3.7,25,7,22,17
success,71,59,3.5,12,5,33,21
accessibility,71,46,2.8,29,4,16,22
guideline,71,55,3.3,9,1,40,21
notion,70,62,3.7,36,18,4,12
engagement,70,51,3.1,28,13,13,16
embed,70,52,3.1,23,13,25,9
assessment,70,53,3.2,12,4,31,23
participatory,70,38,2.3,49,7,13,1
platform,70,33,2.0,27,15,13,15
central,69,64,3.8,27,14,17,11
centre,69,58,3.5,14,32,21,2
employ,69,62,3.7,22,9,20,18
illustrate,69,65,3.9,26,12,17,14
accessible,69,64,3.8,33,8,12,16
art,68,37,2.2,15,32,9,12
tradition,68,50,3.0,39,16,3,10
few,68,66,4.0,17,10,21,20
awareness,68,58,3.5,10,9,39,10
topic,68,57,3.4,14,14,22,18
last,67,67,4.0,29,13,9,16
effect,67,59,3.5,16,14,26,11
characteristic,67,58,3.5,17,14,22,14
office,67,48,2.9,17,22,20,8
administrative,67,46,2.8,23,14,25,5
outcome,67,55,3.3,12,8,32,15
financial,67,38,2.3,14,16,29,8
digitize,67,52,3.1,22,13,2,30
questionnaire,66,48,2.9,6,2,51,7
empirical,66,51,3.1,11,5,45,5
dimension,66,52,3.1,15,18,29,4
graduate,66,33,2.0,12,4,4,46
theme,65,48,2.9,25,16,18,6
australian,65,41,2.5,32,5,27,1
encourage,65,56,3.4,17,9,20,19
african,65,40,2.4,20,2,31,12
queer,65,20,1.2,32,32,0,1
edrm,65,19,1.1,0,0,65,0
think,64,57,3.4,13,22,14,15
keeping,64,42,2.5,13,15,36,0
ongoing,64,61,3.7,17,19,13,15
possibility,64,54,3.2,33,14,12,5
network,64,52,3.1,25,9,14,16
legacy,64,49,2.9,24,13,11,16
fond,63,38,2.3,10,47,0,6
sense,63,55,3.3,28,14,17,4
component,63,57,3.4,17,10,20,16
intellectual,63,52,3.1,18,20,4,21
explain,63,54,3.2,18,8,27,10
well,63,58,3.5,9,6,37,11
protection,63,42,2.5,20,6,33,4
competency,63,24,1.4,0,1,38,24
feature,62,48,2.9,18,9,27,8
construct,62,53,3.2,29,12,13,8
building,62,49,2.9,24,14,14,10
european,62,46,2.8,29,10,18,5
kind,62,55,3.3,21,10,22,9
alternative,62,47,2.8,31,8,14,9
corporate,62,36,2.2,6,11,37,8
ask,62,54,3.2,25,11,13,13
valuable,62,57,3.4,17,11,28,6
movement,62,45,2.7,37,11,3,11
force,62,46,2.8,20,13,14,15
manuscript,62,37,2.2,14,20,0,28
basis,61,58,3.5,21,8,27,5
observation,61,57,3.4,18,3,40,0
turn,61,54,3.2,28,8,18,7
rule,61,47,2.8,21,15,15,10
capacity,61,43,2.6,17,9,34,1
collaborative,61,51,3.1,18,11,14,18
mail,60,21,1.3,6,1,47,6
overview,60,53,3.2,20,14,17,9
today,60,59,3.5,17,18,11,14
school,60,33,2.0,13,12,23,12
little,60,58,3.5,17,7,19,17
deal,60,56,3.4,17,8,26,9
court,60,32,1.9,8,25,24,3
genre,60,27,1.6,38,18,2,2
condition,59,54,3.2,27,16,7,9
grow,59,56,3.4,17,11,13,18
difficulty,59,43,2.6,14,5,28,12
federal,59,39,2.3,23,12,16,8
perceive,59,51,3.1,19,3,27,10
arrangement,59,39,2.3,13,27,4,15
association,59,51,3.1,13,13,11,22
journal,59,32,1.9,6,6,28,19
employee,59,28,1.7,4,0,51,4
task,58,47,2.8,12,11,23,12
appropriate,58,51,3.1,12,12,27,7
evolution,58,55,3.3,15,16,11,16
similar,58,49,2.9,12,7,32,7
successful,58,50,3.0,6,3,33,16
gather,58,52,3.1,13,5,21,19
visual,58,30,1.8,16,18,10,14
activist,58,32,1.9,30,13,0,15
encounter,58,49,2.9,17,15,13,13
workflow,58,37,2.2,13,3,21,21
test,57,46,2.8,11,7,26,13
storage,57,44,2.6,16,8,26,7
technological,57,49,2.9,18,9,24,6
interaction,57,50,3.0,24,11,13,9
comprehensive,57,54,3.2,12,6,29,10
production,57,43,2.6,33,14,6,4
active,57,52,3.1,17,17,11,12
regulation,57,33,2.0,11,4,37,5
surround,57,51,3.1,13,16,13,15
person,57,43,2.6,20,20,9,8
expert,56,42,2.5,13,5,29,9
light,56,54,3.2,18,10,9,19
evolve,56,55,3.3,15,15,10,16
region,56,31,1.9,13,7,26,10
organisational,56,37,2.2,6,0,50,0
land,56,24,1.4,25,8,15,8
thinking,55,45,2.7,21,4,15,15
computer,55,32,1.9,10,13,25,7
literacy,55,31,1.9,8,11,4,32
transparency,55,44,2.6,16,2,33,4
gain,55,54,3.2,14,11,21,9
interpretation,55,50,3.0,22,13,12,8
third,55,48,2.9,24,7,15,9
strategic,55,36,2.2,12,2,34,7
nation,55,40,2.4,29,10,7,9
participation,55,40,2.4,15,8,27,5
procurement,55,9,0.5,0,0,55,0
carry,54,49,2.9,15,10,24,5
property,54,34,2.0,13,19,10,12
official,54,44,2.6,26,9,12,7
police,54,28,1.7,13,8,25,8
age,54,47,2.8,15,16,11,12
absence,54,42,2.5,23,9,17,5
holding,54,38,2.3,14,13,5,22
ability,54,53,3.2,16,10,12,16
real,54,45,2.7,8,9,32,5
sustainability,54,26,1.6,27,2,20,5
difference,53,48,2.9,16,5,21,11
guide,53,48,2.9,14,4,26,9
economic,53,37,2.2,25,4,12,12
claim,53,40,2.4,34,5,5,9
core,53,47,2.8,18,11,9,15
trend,53,44,2.6,15,8,16,14
ground,53,51,3.1,23,12,12,6
map,53,33,2.0,17,28,7,1
woman,53,23,1.4,11,16,0,26
contain,52,47,2.8,24,9,6,13
reflection,52,47,2.8,21,14,13,4
add,52,48,2.9,12,7,25,8
recordkeepe,52,37,2.2,13,6,29,4
acquisition,52,41,2.5,3,32,1,16
worker,52,34,2.0,25,5,10,12
respondent,52,39,2.3,4,3,34,11
pose,52,50,3.0,11,10,12,19
reason,51,49,2.9,11,8,18,14
recognize,51,45,2.7,10,19,6,16
twentieth,51,44,2.6,23,11,1,16
climate,51,21,1.3,10,2,35,4
scale,51,45,2.7,21,3,16,11
attitude,51,32,1.9,17,4,26,4
ethic,51,34,2.0,15,18,9,9
diplomatic,51,19,1.1,15,3,33,0
home,51,35,2.1,27,5,14,5
addition,51,46,2.8,15,3,25,8
college,51,36,2.2,6,10,7,28
custody,51,31,1.9,22,5,11,13
donor,51,28,1.7,7,31,0,13
generation,50,44,2.6,16,15,12,7
connection,50,45,2.7,25,8,9,8
reality,50,38,2.3,20,10,10,10
voice,50,38,2.3,30,8,3,9
societal,50,35,2.1,29,9,9,3
domain,50,38,2.3,13,10,19,8
population,50,45,2.7,16,3,21,10
quantitative,50,41,2.5,8,1,38,3
structured,50,48,2.9,13,9,23,5
significance,50,44,2.6,21,11,12,6
china,50,18,1.1,29,0,16,5
positive,50,43,2.6,7,3,29,11
website,50,32,1.9,12,9,6,23
hospital,50,14,0.8,3,0,39,8
rim,50,16,1.0,1,0,45,4
product,49,45,2.7,14,7,13,15
drive,49,44,2.6,15,9,19,6
diverse,49,45,2.7,17,5,10,17
close,49,48,2.9,19,13,9,8
records,49,40,2.4,9,1,37,2
disposition,49,24,1.4,19,10,16,4
examination,49,46,2.8,13,12,10,14
team,49,34,2.0,9,3,23,14
diversity,49,38,2.3,9,7,5,28
cost,49,39,2.3,9,3,27,10
legislative,49,26,1.6,3,3,33,10
dynamic,48,46,2.8,21,9,12,6
late,48,42,2.5,18,11,3,16
selection,48,39,2.3,15,15,12,6
strong,48,43,2.6,11,11,21,5
extend,48,45,2.7,21,7,15,5
criterion,48,34,2.0,12,10,22,4
job,48,26,1.6,4,3,25,16
learning,48,32,1.9,9,5,17,17
phase,48,34,2.0,8,5,16,19
conflict,48,41,2.5,23,9,6,10
era,48,40,2.4,16,7,7,18
lens,48,47,2.8,19,10,11,8
stage,47,40,2.4,16,4,22,5
objective,47,43,2.6,12,3,26,6
scope,47,45,2.7,11,9,19,8
landscape,47,40,2.4,14,10,11,12
british,47,32,1.9,22,16,6,3
efficiency,47,36,2.2,17,0,28,2
barrier,47,39,2.3,14,9,12,12
integrity,47,37,2.2,7,6,28,6
variety,47,47,2.8,11,11,8,17
north,47,40,2.4,17,12,5,13
obtain,47,40,2.4,6,2,33,6
freedom,47,32,1.9,9,3,34,1
respect,47,39,2.3,15,16,14,2
global,46,40,2.4,20,3,18,5
