Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
50;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;0,721;Q1;70;31;115;1573;438;112;3,05;50,74;57,95;0;6;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2024";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
51;6200180164;"Profesional de la Informacion";journal;"16992407, 13866710";"El Profesional de la Informacion";No;No;0,719;Q1;50;116;388;7073;1356;378;3,44;60,97;48,21;21;49;Spain;Western Europe;"El Profesional de la Informacion";"2006-2025";"Communication (Q1); Cultural Studies (Q1); Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
52;21100374356;"Aslib Journal of Information Management";journal;"20503806, 20503814";"Emerald Group Publishing Ltd.";No;No;0,711;Q1;54;105;180;8119;868;176;4,71;77,32;37,93;0;26;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2014-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
53;23842;"Journal of Classification";journal;"01764268, 14321343";"Springer New York";No;No;0,710;Q1;49;46;88;2016;215;79;2,18;43,83;31,62;0;2;United States;Northern America;"Springer New York";"1984-2025";"Library and Information Sciences (Q1); Mathematics (miscellaneous) (Q1); Psychology (miscellaneous) (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Psychology; Social Sciences"
54;19400158815;"Communications in Information Literacy";journal;"19335954";"Communications in Information Literacy";Yes;Yes;0,697;Q1;25;14;41;439;72;38;1,45;31,36;84,00;0;4;United States;Northern America;"Communications in Information Literacy";"2009-2024";"Library and Information Sciences (Q1); Education (Q2); E-learning (Q2)";"Social Sciences"
55;21100805777;"Information and Learning Science";journal;"23985356, 23985348";"Emerald Publishing";No;No;0,686;Q1;41;57;94;3945;280;89;3,00;69,21;59,72;0;15;United Kingdom;Western Europe;"Emerald Publishing";"2017-2025";"Library and Information Sciences (Q1); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
56;4700152731;"Public Library Quarterly";journal;"01616846, 15411540";"Routledge";No;No;0,680;Q1;24;63;96;2803;221;95;2,22;44,49;57,00;1;29;United States;Northern America;"Routledge";"1979-1986, 1988-2025";"Library and Information Sciences (Q1)";"Social Sciences"
57;144983;"Archival Science";journal;"13890166";"Springer Netherlands";No;No;0,671;Q1;44;44;77;2518;181;73;2,84;57,23;68,75;0;12;Netherlands;Western Europe;"Springer Netherlands";"2001-2025";"History (Q1); Library and Information Sciences (Q1)";"Arts and Humanities; Social Sciences"
58;13316;"Journal of Librarianship and Information Science";journal;"09610006, 17416477";"SAGE Publications Ltd";No;No;0,665;Q1;41;153;214;9740;684;214;2,95;63,66;49,24;3;36;United Kingdom;Western Europe;"SAGE Publications Ltd";"1969-2025";"Library and Information Sciences (Q1)";"Social Sciences"
59;21100829144;"Journal of the Australian Library and Information Association";journal;"24750158, 24750166";"Taylor and Francis Ltd.";No;No;0,640;Q1;27;39;92;1487;191;76;2,78;38,13;68,33;0;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2025";"Library and Information Sciences (Q1)";"Social Sciences"
