Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
233;21100942831;"Bibliotecas, Anales de Investigacion";journal;"16838947, 0006176X";"Biblioteca Nacional de Cuba Jose Marti";Yes;Yes;0,132;Q4;8;43;140;1510;44;137;0,29;35,12;40,59;0;15;Cuba;Latin America;"Biblioteca Nacional de Cuba Jose Marti";"2019-2024";"Library and Information Sciences (Q4)";"Social Sciences"
234;8300153137;"International Journal of Metadata, Semantics and Ontologies";journal;"1744263X, 17442621";"Inderscience Enterprises Ltd";No;No;0,131;Q4;22;0;42;0;21;42;0,56;0,00;0,00;0;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2023";"Computer Science Applications (Q4); E-learning (Q4); Information Systems (Q4); Library and Information Sciences (Q4)";"Computer Science; Social Sciences"
235;10700153302;"International Journal of Data Mining and Bioinformatics";journal;"17485681, 17485673";"Inderscience Enterprises Ltd";No;No;0,130;Q4;26;22;46;630;27;46;0,63;28,64;48,84;0;3;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2024";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Information Systems (Q4); Library and Information Sciences (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
236;21100791249;"Pakistan Journal of Information Management and Libraries";journal;"24097462";"Department of Information Management, University of the Punjab";Yes;No;0,130;Q4;13;0;15;0;5;15;0,20;0,00;0,00;0;0;Pakistan;Asiatic Region;"Department of Information Management, University of the Punjab";"2014-2023";"Computer Science Applications (Q4); Library and Information Sciences (Q4)";"Computer Science; Social Sciences"
237;4700152422;"Journal of Map and Geography Libraries";journal;"15420353, 15420361";"Routledge";No;No;0,129;Q4;15;8;45;183;12;36;0,33;22,88;50,00;0;0;United States;Northern America;"Routledge";"2004-2025";"Library and Information Sciences (Q4)";"Social Sciences"
238;21101120357;"AtoZ";journal;"2237826X";"Programa de Pos-Graduacao em Gestao da Informacao, Universidade Federal do Parana";Yes;Yes;0,127;Q4;4;31;102;866;14;96;0,08;27,94;52,63;0;11;Brazil;Latin America;"Programa de Pos-Graduacao em Gestao da Informacao, Universidade Federal do Parana";"2019-2024";"Information Systems (Q4); Library and Information Sciences (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
239;21100805737;"IC Revista Cientifica de Informacion y Comunicacion";journal;"21731071, 16962508";"Departamento de Periodismo I de la Universidad de Sevilla.";Yes;Yes;0,127;Q4;4;15;72;449;21;68;0,36;29,93;62,50;0;4;Spain;Western Europe;"Departamento de Periodismo I de la Universidad de Sevilla.";"2016-2024";"Cultural Studies (Q3); Linguistics and Language (Q3); Communication (Q4); Library and Information Sciences (Q4)";"Social Sciences"
240;21101172239;"Palabra Clave (La Plata)";journal;"18539912, 16662938";"Universidad Nacional de La Plata";Yes;Yes;0,127;Q4;2;22;45;774;10;39;0,22;35,18;58,33;0;3;Argentina;Latin America;"Universidad Nacional de La Plata";"2022-2025";"Library and Information Sciences (Q4)";"Social Sciences"
241;4700152762;"Journal of Archival Organization";journal;"15332748, 15332756";"Routledge";No;No;0,126;Q4;15;3;17;103;7;17;0,22;34,33;60,00;0;1;United States;Northern America;"Routledge";"2002, 2004-2014, 2016-2024";"Library and Information Sciences (Q4)";"Social Sciences"
242;21100808441;"Teorie Vedy / Theory of Science";journal;"12100250, 18046347";"Czech Academy of Sciences";Yes;Yes;0,126;Q4;7;8;30;369;5;28;0,05;46,13;12,50;0;0;Czech Republic;Eastern Europe;"Czech Academy of Sciences";"2010-2024";"Philosophy (Q3); History and Philosophy of Science (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
243;15416;"Computers in Libraries";trade journal;"10417915";"Information Today";No;No;0,125;Q4;20;112;200;207;25;53;0,12;1,85;54,17;0;4;United States;Northern America;"Information Today";"1996-2025";"Computer Science (miscellaneous) (Q4); Library and Information Sciences (Q4)";"Computer Science; Social Sciences"
244;21101204534;"Library Progress International";journal;"09701052, 2320317X";"BPAS Publications";No;No;0,122;Q4;1;0;28;0;5;28;0,18;0,00;0,00;0;0;India;Asiatic Region;"BPAS Publications";"2023";"Library and Information Sciences (Q4)";"Social Sciences"
245;21100373617;"Biblios";journal;"15624730";"University Library System, University of Pittsburgh";Yes;Yes;0,121;Q4;7;17;45;553;7;44;0,14;32,53;60,71;0;3;United States;Northern America;"University Library System, University of Pittsburgh";"2013-2024";"Library and Information Sciences (Q4)";"Social Sciences"
246;21101158608;"Bibliotecas";journal;"14093049, 16593286";"Universidad Nacional";Yes;Yes;0,119;Q4;2;15;19;312;2;19;0,00;20,80;60,00;0;6;Costa Rica;Latin America;"Universidad Nacional";"2019-2025";"Library and Information Sciences (Q4)";"Social Sciences"
247;13413;"Legal Reference Services Quarterly";journal;"0270319X, 1540949X";"Taylor and Francis Ltd.";No;No;0,116;Q4;9;13;43;61;13;37;0,30;4,69;42,86;0;1;United States;Northern America;"Taylor and Francis Ltd.";"1981-2024";"Law (Q4); Library and Information Sciences (Q4)";"Social Sciences"
248;16004;"Reference and User Services Quarterly";journal;"10949054";"American Library Association";No;No;0,116;Q4;39;8;12;126;2;9;0,00;15,75;55,56;0;0;United States;Northern America;"American Library Association";"1997-2019, 2021, 2024";"Information Systems (Q4); Library and Information Sciences (Q4)";"Computer Science; Social Sciences"
249;4700152752;"Slavic and East European Information Resources";journal;"15229041, 15228886";"Routledge";No;No;0,116;Q4;6;21;66;122;20;56;0,30;5,81;14,29;0;0;United States;Northern America;"Routledge";"2001-2024";"Linguistics and Language (Q3); Library and Information Sciences (Q4)";"Social Sciences"
250;21100939697;"Synthesis Lectures on Information Concepts, Retrieval, and Services";book series;"1947945X, 19479468";"Springer International Publishing";No;No;0,116;Q4;6;48;85;1880;10;2;0,09;39,17;0,00;0;8;Switzerland;Western Europe;"Springer International Publishing";"2010, 2012, 2017-2025";"Computer Networks and Communications (Q4); Information Systems (Q4); Information Systems and Management (Q4); Library and Information Sciences (Q4)";"Computer Science; Decision Sciences; Social Sciences"
251;15689;"Bulletin of the John Rylands Library";journal;"20549326, 20549318";"John Rylands University Library";No;No;0,115;Q4;7;11;48;959;11;46;0,10;87,18;36,36;0;4;United Kingdom;Western Europe;"John Rylands University Library";"1946-1948, 1971-1972, 1990, 1999, 2002-2006, 2012, 2014-2024";"Arts and Humanities (miscellaneous) (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
252;19900189254;"International Journal of Technology, Knowledge and Society";journal;"28350391, 18323669";"Common Ground Research Networks";No;No;0,114;Q4;10;10;9;543;2;9;0,25;54,30;52,17;0;6;United States;Northern America;"Common Ground Research Networks";"2008-2014, 2016-2025";"Computer Science Applications (Q4); Education (Q4); Engineering (miscellaneous) (Q4); Library and Information Sciences (Q4); Social Sciences (miscellaneous) (Q4)";"Computer Science; Engineering; Social Sciences"
253;21100834359;"Methis";journal;"17366852, 22284745";"University of Tartu Press";Yes;Yes;0,113;Q4;4;0;38;0;10;31;0,26;0,00;0,00;0;0;Estonia;Eastern Europe;"University of Tartu Press";"2017-2022";"Cultural Studies (Q3); Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
254;14076;"Libres";journal;"10586768";"Nanyang Technological University";Yes;Yes;0,112;Q4;14;4;22;136;9;22;0,27;34,00;33,33;0;0;Singapore;Asiatic Region;"Nanyang Technological University";"1996-2024";"Library and Information Sciences (Q4)";"Social Sciences"
255;21101250406;"Arhivski Vjesnik";journal;"05709008, 18483143";"Croatian State Archives";No;No;0,111;Q4;3;9;40;364;2;36;0,03;40,44;69,23;0;3;Croatia;Eastern Europe;"Croatian State Archives";"2020-2024";"History (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
256;21100897266;"Bibliothecae.it";journal;"22807934, 22839364";"Universita di Bologna, Dipartimento di Beni Culturali, Alma Mater Studiorum";Yes;Yes;0,111;Q4;3;22;105;653;5;99;0,04;29,68;72,73;0;1;Italy;Western Europe;"Universita di Bologna, Dipartimento di Beni Culturali, Alma Mater Studiorum";"2018-2024";"History (Q3); Information Systems (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
257;14760;"Zeitschrift fur Bibliothekswesen und Bibliographie";journal;"18642950, 00442380";"Vittorio Klostermann";No;No;0,111;Q4;6;27;121;567;3;107;0,03;21,00;52,50;0;1;Germany;Western Europe;"Vittorio Klostermann";"1969, 1988-2024";"Library and Information Sciences (Q4)";"Social Sciences"
258;21100237620;"Gazette des Archives";journal;"00165522";"Association des archivistes francais (AAF)";No;No;0,110;Q4;3;9;112;357;1;105;0,00;39,67;75,00;0;0;France;Western Europe;"Association des archivistes francais (AAF)";"1976, 2012-2024";"History (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
259;21100914959;"Indexer";journal;"17560632, 00194131";"Liverpool University Press";No;No;0,110;Q4;5;33;99;423;23;84;0,22;12,82;62,50;0;0;United Kingdom;Western Europe;"Liverpool University Press";"2019-2024";"Arts and Humanities (miscellaneous) (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
260;13964;"Library";journal;"17448581, 00242160";"Oxford University Press";No;No;0,110;Q4;17;17;65;1004;14;63;0,18;59,06;18,75;0;0;United Kingdom;Western Europe;"Oxford University Press";"1889-1899, 1901-2024";"Arts and Humanities (miscellaneous) (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
261;5000154508;"Ciencia da Informacao";journal;"15188353, 01001965";"Brazilian Institute for Information in Science and Technology";Yes;Yes;0,108;Q4;17;58;130;785;5;93;0,04;13,53;49,12;0;9;Brazil;Latin America;"Brazilian Institute for Information in Science and Technology";"2006-2024";"Library and Information Sciences (Q4)";"Social Sciences"
262;21100945772;"In Monte Artium";journal;"20313098, 25070312";"OpenEditions Journals";No;No;0,107;Q4;2;0;11;0;2;11;0,25;0,00;0,00;0;0;France;Western Europe;"OpenEditions Journals";"2019-2021, 2023";"History (Q3); Literature and Literary Theory (Q3); Music (Q3); Arts and Humanities (miscellaneous) (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
263;21100268077;"Analecta Hibernica";book series;"07916167";"The Irish Manuscripts Commission Ltd.";No;No;0,105;Q4;3;0;7;0;0;6;0,00;0,00;0,00;0;0;Ireland;Western Europe;"The Irish Manuscripts Commission Ltd.";"2011-2013, 2015, 2017-2020, 2022";"History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
264;21100886541;"Knygotyra";journal;"23450053, 02042061";"Vilnius University Press";Yes;Yes;0,105;Q4;3;20;70;671;9;62;0,13;33,55;54,17;0;2;Lithuania;Eastern Europe;"Vilnius University Press";"2018-2024";"Literature and Literary Theory (Q3); Communication (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
265;14096;"Transactions of the Cambridge Bibliographical Society";journal;"00686611";"Cambridge Bibliographical Society";No;No;0,105;Q4;5;0;6;0;0;6;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"Cambridge Bibliographical Society";"1971, 1979-1980, 1982, 1988, 2002-2011, 2013-2017, 2019-2021";"Literature and Literary Theory (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
266;21101040634;"Comparative Oriental Manuscript Studies Bulletin";journal;"24100951";"Universitat Hamburg";Yes;Yes;0,104;Q4;5;0;52;0;4;50;0,05;0,00;0,00;0;0;Germany;Western Europe;"Universitat Hamburg";"2019-2023";"Literature and Literary Theory (Q3); Conservation (Q4); Library and Information Sciences (Q4); Linguistics and Language (Q4)";"Arts and Humanities; Social Sciences"
267;21101101868;"Information, Medium, and Society";journal;"26911507, 26911515";"Common Ground Research Networks";No;No;0,104;Q4;5;5;8;158;1;8;0,13;31,60;80,00;0;0;United States;Northern America;"Common Ground Research Networks";"2020, 2022-2025";"Literature and Literary Theory (Q3); Communication (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
268;21101120354;"Bibliotekarz Podlaski";journal;"25448900, 16407806";"Ksiaznica Podlaska";No;No;0,103;Q4;2;89;220;2001;2;214;0,01;22,48;56,63;0;2;Poland;Eastern Europe;"Ksiaznica Podlaska";"2019-2024";"Literature and Literary Theory (Q3); Cultural Studies (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
269;17500155021;"Grey Journal";journal;"1574180X, 15741796";"GreyNet";No;No;0,103;Q4;7;21;22;424;2;17;0,09;20,19;27,03;0;11;Netherlands;Western Europe;"GreyNet";"2009-2020, 2022-2024";"Library and Information Sciences (Q4)";"Social Sciences"
270;21101112619;"International Journal of Legal Information";journal;"07311265, 23314117";"Cambridge University Press";No;No;0,103;Q4;4;12;42;594;9;34;0,17;49,50;45,83;0;7;United Kingdom;Western Europe;"Cambridge University Press";"2019-2025";"Law (Q4); Library and Information Sciences (Q4)";"Social Sciences"
271;21100407264;"Library of the Written Word";book series;"18744842, 18744834";"Brill Academic Publishers";No;No;0,103;Q4;12;91;160;11162;12;12;0,05;122,66;50,00;0;4;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2025";"Visual Arts and Performing Arts (Q3); Communication (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
272;19600166417;"Script and Print";journal;"18349013";"Australian and New Zealand Student Services Association";No;No;0,103;Q4;5;0;24;0;0;10;0,00;0,00;0,00;0;0;Australia;Pacific Region;"Australian and New Zealand Student Services Association";"2008-2022";"Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
273;6000167588;"Archives";journal;"00039535";"British Records Association";No;No;0,102;Q4;3;0;19;0;0;19;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"British Records Association";"2011-2023";"History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
274;21100427626;"East Asian Publishing and Society";journal;"22106278, 22106286";"Brill Academic Publishers";No;No;0,102;Q4;5;10;19;291;5;18;0,36;29,10;83,33;0;1;Netherlands;Western Europe;"Brill Academic Publishers";"2011-2024";"Communication (Q4); Library and Information Sciences (Q4); Media Technology (Q4)";"Engineering; Social Sciences"
275;21101070239;"Knihy a Dejiny";journal;"12108510, 25712322";"Library of the Czech Academy of Sciences (LCAS)";No;No;0,102;Q4;1;5;22;178;1;18;0,07;35,60;50,00;0;0;Czech Republic;Eastern Europe;"Library of the Czech Academy of Sciences (LCAS)";"2019-2024";"Arts and Humanities (miscellaneous) (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
276;13970;"Library and Information Science";journal;"03734447";"Mita Society for Library and Information Science";No;No;0,102;Q4;6;1;15;7;1;15;0,10;7,00;0,00;0;1;Japan;Asiatic Region;"Mita Society for Library and Information Science";"1980-2024";"Library and Information Sciences (Q4)";"Social Sciences"
277;20500195100;"Tuna";journal;"14064030";"Eesti Arhivaaride Uhing";No;No;0,102;Q4;4;0;70;0;1;14;0,00;0,00;0,00;0;0;Estonia;Eastern Europe;"Eesti Arhivaaride Uhing";"2011-2014, 2017-2022";"History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
278;21101215120;"Archiwa, Biblioteki i Muzea Koscielne";journal;"25453491, 05183766";"John Paul II Catholic University of Lublin";Yes;Yes;0,101;Q4;1;33;49;1706;3;47;0,06;51,70;29,03;0;0;Poland;Eastern Europe;"John Paul II Catholic University of Lublin";"2023-2025";"Arts and Humanities (miscellaneous) (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
279;21100942399;"IAFOR Journal of Literature and Librarianship";journal;"21870608";"The International Academic Forum (IAFOR)";Yes;Yes;0,101;Q4;3;8;38;227;3;37;0,04;28,38;50,00;0;0;Japan;Asiatic Region;"The International Academic Forum (IAFOR)";"2019-2024";"Library and Information Sciences (Q4); Literature and Literary Theory (Q4)";"Arts and Humanities; Social Sciences"
280;21101199369;"Journal of Codicology and Manuscript Research";journal;"28211677, 27834913";"Scientific Association of Manuscript Research and Codicology of IRAN";Yes;No;0,101;Q4;1;22;44;27;1;44;0,02;1,23;31,03;0;1;Iran;Middle East;"Scientific Association of Manuscript Research and Codicology of IRAN";"2022-2024";"Library and Information Sciences (Q4); Linguistics and Language (Q4)";"Social Sciences"
281;21101115666;"Latvijas Nacionalas Bibliotekas Zinatniskie Raksti";journal;"26615134, 16915941";"National Library of Latvia";No;No;0,101;Q4;1;38;73;943;1;28;0,02;24,82;53,57;0;2;Latvia;Eastern Europe;"National Library of Latvia";"2020-2023";"History (Q4); Library and Information Sciences (Q4); Literature and Literary Theory (Q4)";"Arts and Humanities; Social Sciences"
282;21100820204;"Manuscripta Orientalia";journal;"24153613, 12385018";"Thesa Publishers";No;No;0,101;Q4;4;12;53;246;2;52;0,00;20,50;43,75;0;0;Russian Federation;Eastern Europe;"Thesa Publishers";"2016-2024";"Cultural Studies (Q4); Library and Information Sciences (Q4); Linguistics and Language (Q4); Literature and Literary Theory (Q4)";"Arts and Humanities; Social Sciences"
283;23739;"Quaerendo";journal;"00149527, 15700690";"Brill Academic Publishers";No;No;0,101;Q4;9;17;41;1106;1;39;0,00;65,06;70,59;0;1;Netherlands;Western Europe;"Brill Academic Publishers";"1971-1979, 1981-1985, 1987-2025";"History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
284;23808;"Scriptorium";journal;"00369772";"Centre d'Etude des Manuscrits";No;No;0,101;Q4;10;0;27;0;2;27;0,18;0,00;0,00;0;0;Belgium;Western Europe;"Centre d'Etude des Manuscrits";"1972, 1975, 1977-1979, 1982, 1984-1985, 1987, 1997, 2002-2022";"Library and Information Sciences (Q4); Visual Arts and Performing Arts (Q4)";"Arts and Humanities; Social Sciences"
285;17800156797;"VOEB-Mitteilungen";journal;"10222588, 27914011";"Vereinigung Osterreichischer Bibliothekarinnen und Bibliothekare";Yes;Yes;0,101;Q4;6;16;48;67;2;39;0,00;4,19;75,00;0;0;Austria;Western Europe;"Vereinigung Osterreichischer Bibliothekarinnen und Bibliothekare";"2009-2024";"Library and Information Sciences (Q4)";"Social Sciences"
286;5800224021;"Bulletin des Bibliotheques de France";journal;"00062006";"Ecole Nationale Superieure des Sciences de l'Information et des Bibliotheques";Yes;No;0,100;Q4;3;32;89;155;0;66;0,00;4,84;68,57;0;3;France;Western Europe;"Ecole Nationale Superieure des Sciences de l'Information et des Bibliotheques";"2012-2024";"Library and Information Sciences (Q4)";"Social Sciences"
287;21100944123;"Comma";journal;"20493355, 16801865";"Liverpool University Press";No;No;0,100;Q4;2;0;89;0;2;83;0,01;0,00;0,00;0;0;United Kingdom;Western Europe;"Liverpool University Press";"2019-2023";"Conservation (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
288;6500153237;"Fontes Artis Musicae";journal;"00156191";"Music Library Association";No;No;0,100;Q4;6;14;70;685;7;66;0,02;48,93;35,29;0;0;United States;Northern America;"Music Library Association";"2002-2024";"Library and Information Sciences (Q4); Music (Q4)";"Arts and Humanities; Social Sciences"
289;21100867474;"Przeglad Archiwalny Instytutu Pamieci Narodowej";journal;"18991254";"Instytut Pamieci Narodowej w Polsce";No;No;0,100;Q4;1;0;60;0;0;57;0,00;0,00;0,00;0;0;Poland;Eastern Europe;"Instytut Pamieci Narodowej w Polsce";"2016-2023";"Conservation (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
290;21101256260;"Publishing and Printing";journal;"10071938";"Shanghai Publishing and Printing College";No;No;0,100;Q4;2;65;230;1397;7;229;0,03;21,49;50,00;0;13;China;Asiatic Region;"Shanghai Publishing and Printing College";"2020-2024";"Communication (Q4); Library and Information Sciences (Q4); Linguistics and Language (Q4)";"Social Sciences"
291;21101046690;"Z Badan nad Ksiazka i Ksiegozbiorami Historycznymi";journal;"25448730, 18970788";"University of Warsaw";Yes;Yes;0,100;Q4;2;24;85;869;3;76;0,03;36,21;59,09;0;1;Poland;Eastern Europe;"University of Warsaw";"2019-2024";"Arts and Humanities (miscellaneous) (Q4); Communication (Q4); History (Q4); Library and Information Sciences (Q4)";"Arts and Humanities; Social Sciences"
