journal,title,author,year,volume,issue,doi,abstract
American Archivist,Let's look at the record,Buck S.,1945,8,2,10.17723/aarc.8.2.6u23k674v1701582,
American Archivist,The local historian in New York,Corey A.,1945,8,2,10.17723/aarc.8.2.p623474l71076116,
American Archivist,Some observations on the flattening of folded records,Minogue A.,1945,8,2,10.17723/aarc.8.2.62751042011p4317,
American Archivist,Local archives,Burt H.,1945,8,2,10.17723/aarc.8.2.p188433u46787mr7,
American Archivist,The territorial papers of the United States,Carter C.,1945,8,2,10.17723/aarc.8.2.7r01173072880r20,
American Archivist,Some legal aspects of archives,Norton M.,1945,8,1,10.17723/aarc.8.1.241151083v607381,
American Archivist,Archivo Historico de Hacienda,Hernández A.,1945,8,1,10.17723/aarc.8.1.u7u3712266858930,
American Archivist,The inviolability of diplomatic archives,Colket M.,1945,8,1,10.17723/aarc.8.1.k010662414m87w48,
American Archivist,The eighth annual meeting of the Society of American Archivists,Peckham H.H.,1945,8,1,10.17723/aarc.8.1.j4k1166023787337,
American Archivist,Norwegian archives in the war,Koht H.,1945,8,1,10.17723/aarc.8.1.j5x8k16467887248,
American Archivist,The parchment stretcher at the Maryland Hall of Records,Skordas G.,1946,9,4,10.17723/aarc.9.4.mq472523w6g7p001,
American Archivist,Questioned documents,Lacy G.,1946,9,4,10.17723/aarc.9.4.k5463n0768172t75,
American Archivist,Records of the St. Paul Fire and Marine Insurance Company,Wolfsberg V.,1946,9,4,10.17723/aarc.9.4.64513p6v12810w82,
American Archivist,The captured confederate records under Francis Lieber,Lokke C.,1946,9,4,10.17723/aarc.9.4.c736554789t63013,
American Archivist,Getting things done!,McDowell W.,1946,9,4,10.17723/aarc.9.4.v0804216p735j817,
American Archivist,The change in editorship of the American Archivist,,1946,9,3,,
American Archivist,Whose fault? An editorial,,1946,9,3,10.17723/aarc.9.3.3671262354h161tg,
American Archivist,Retirement of federal war records,Gondos V.,1946,9,3,10.17723/aarc.9.3.g8h646n5066x37t0,
American Archivist,Some practical suggestions regarding specifications for rebinding public records,Schneider A.,1946,9,3,,
American Archivist,The collection and preservation of local historical pictures in the Minneapolis Public Library,Thompson R.,1946,9,3,10.17723/aarc.9.3.2766j2q265558n14,
American Archivist,Standard for permanent record photographic microcopying film (Gelatin-silver halide emulsion type),,1946,9,3,,
American Archivist,The preservation of war records at the air technical service command,Thomas C.M.,1946,9,3,10.17723/aarc.9.3.95p247q346587227,
American Archivist,The National Archives and the protection of records in war areas,Holmes O.,1946,9,2,10.17723/aarc.9.2.57r5110n780hr471,
American Archivist,"Putting PAW to bed, or the records retirement program of PAW",Bourne F.,1946,9,2,10.17723/aarc.9.2.e0460206v67x3131,
